node_id,x,y,is_origin,is_destination
0,20.71328596768688,86.51352086552254,1,0
1,75.4417787328826,78.30328279286505,0,0
2,98.63481043207587,57.70218786867023,0,0
3,6.08030914380473,87.63962106132185,0,0
4,40.57891441014596,39.58344741398534,0,0
5,11.194143115135468,80.20295866880959,0,0
6,42.44022828406086,93.45944891261331,0,0
7,3.5275729708801107,43.79642177433064,0,0
8,66.98774527070009,55.1388875212941,0,0
9,93.26822354689094,45.6049884576708,0,0
10,76.24904837281498,25.435394411166566,0,0
11,35.9782232187302,87.08704156119784,0,1
